Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-11-27,MUNDRAPORT,EQ,440.0,770.0,1050.0,770.0,959.0,962.9,984.72,27294366,2687719053785000.0,,9859619.0,0.3612
2007-11-28,MUNDRAPORT,EQ,962.9,984.0,990.0,874.0,885.0,893.9,941.38,4581338,431276530165000.0,,1453278.0,0.3172
2007-11-29,MUNDRAPORT,EQ,893.9,909.0,914.75,841.0,887.0,884.2,888.09,5124121,455065846265000.0,,1069678.0,0.2088
2012-01-17,ADANIPORTS,EQ,135.5,137.1,141.0,135.0,140.1,140.0,138.13,1636196,22600735135000.0,18374.0,1004327.0,0.6138
2012-01-18,ADANIPORTS,EQ,140.0,142.0,143.8,138.7,143.0,141.7,141.25,890591,12579860880000.0,15615.0,404925.0,0.4547
2012-01-19,ADANIPORTS,EQ,141.7,144.0,150.55,143.15,149.5,149.4,146.72,1456077,21363822990000.0,31299.0,721545.0,0.4955
2000-01-03,ASIANPAINT,EQ,361.2,370.0,390.0,370.0,385.0,381.65,380.54,3318,126261725000.0,,,
2000-01-04,ASIANPAINT,EQ,381.65,380.0,392.0,375.0,390.0,385.55,383.5,4818,184769865000.0,,,
2000-01-05,ASIANPAINT,EQ,385.55,371.5,390.0,371.5,383.0,383.0,379.81,2628,99813845000.0,,,
2000-01-03,UTIBANK,EQ,24.7,26.7,26.7,26.7,26.7,26.7,26.7,112100,299307000000.0,,,
2000-01-04,UTIBANK,EQ,26.7,27.0,28.7,26.5,27.0,26.85,27.24,234500,638727500000.0,,,
2000-01-05,UTIBANK,EQ,26.85,26.0,27.75,25.5,26.4,26.3,26.24,170100,446298000000.0,,,
2007-08-16,AXISBANK,EQ,597.5,588.0,594.9,551.0,558.0,557.85,564.61,860905,48607465810000.0,,611675.0,0.7105
2007-08-17,AXISBANK,EQ,557.85,546.05,581.0,534.0,577.0,575.15,560.1,1338154,74949676900000.0,,766322.0,0.5727000000000001
2007-08-20,AXISBANK,EQ,575.15,585.0,609.0,577.0,603.5,604.65,593.44,878025,52105849360000.0,,550878.0,0.6274000000000001
2008-05-26,BAJAJ-AUTO,EQ,2101.05,898.0,898.0,551.35,600.25,604.75,624.61,3972485,248124475790000.0,,1202933.0,0.3028
2008-05-27,BAJAJ-AUTO,EQ,604.75,624.7,639.0,580.3,595.5,593.15,606.43,1751063,106190068700000.0,,369389.0,0.211
2008-05-28,BAJAJ-AUTO,EQ,593.15,561.65,621.9,561.65,605.1,608.15,608.75,1652355,100587748930000.0,,898602.0,0.5438000000000001
2008-05-26,BAJAJFINSV,EQ,2101.05,600.0,619.0,501.0,505.1,509.1,548.85,3145446,172636816770000.0,,908264.0,0.2888
2008-05-27,BAJAJFINSV,EQ,509.1,505.0,610.95,491.1,564.0,554.65,572.15,4349144,248836962445000.0,,677627.0,0.1558
2008-05-28,BAJAJFINSV,EQ,554.65,564.0,665.6,564.0,643.0,640.95,618.37,4588759,283753013850000.0,,774895.0,0.1689
2000-01-03,BAJAUTOFIN,EQ,46.95,49.45,50.75,46.5,50.75,50.75,50.05,7600,38038000000.0,,,
2000-01-04,BAJAUTOFIN,EQ,50.75,53.2,53.2,47.9,48.0,48.1,48.56,5000,24280000000.0,,,
2000-01-05,BAJAUTOFIN,EQ,48.1,46.55,47.4,44.6,44.6,44.6,45.47,3500,15914500000.0,,,
2010-09-29,BAJFINANCE,EQ,793.6,780.0,805.0,770.0,776.0,774.6,783.42,26000,2036902910000.0,,17004.0,0.654
2010-09-30,BAJFINANCE,EQ,774.6,775.0,783.45,766.25,772.0,773.55,774.33,17350,1343468625000.0,,11723.0,0.6757
2010-10-01,BAJFINANCE,EQ,773.55,763.0,797.3,760.25,773.6,774.95,780.22,35941,2804195580000.0,,26623.0,0.7406999999999999
2002-02-18,BHARTI,EQ,0.0,51.9,51.9,43.5,44.7,44.35,46.0,10381190,47754314050000.0,,6503775.0,0.6265
2002-02-19,BHARTI,EQ,44.35,45.15,45.15,41.3,41.35,41.7,42.58,3552660,15126094130000.002,,1741184.0,0.4901
2002-02-20,BHARTI,EQ,41.7,40.6,42.8,40.25,41.2,41.25,41.56,2512964,10443478265000.0,,,
2006-06-19,BHARTIARTL,EQ,365.85,358.0,370.0,355.15,362.65,362.15,361.19,352849,12744705490000.0,,69929.0,0.1982
